"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Idang\Documents\ISPOT_IDHM\alpah\lib\Objects\instgram_object.dart", "Dart", 1, 0, 0, 1
"c:\Users\Idang\Documents\ISPOT_IDHM\alpah\lib\Tools_Static\song_mannger.dart", "Dart", 6, 0, 0, 6
"c:\Users\Idang\Documents\ISPOT_IDHM\alpah\lib\main.dart", "Dart", -9, 0, 0, -9
"c:\Users\Idang\Documents\ISPOT_IDHM\alpah\lib\widgets\audio_player_warpper.dart", "Dart", -2, 0, 10, 8
"Total", "-", -4, 0, 10, 6
