"filename", "language", "Groovy", "Markdown", "YAML", "Properties", "C++", "Dart", "JSON", "HTML", "XML", "Swift", "kotlin", "comment", "blank", "total"
"c:\Users\Idang\Documents\ISPOT_IDHM\alpah\lib\exceptions.dart", "Dart", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 7, 25
"c:\Users\Idang\Documents\ISPOT_IDHM\alpah\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 17, 128
"c:\Users\Idang\Documents\ISPOT_IDHM\alpah\lib\widgets\audio_player_warpper.dart", "Dart", 0, 0, 0, 0, 0, 154, 0, 0, 0, 0, 0, 0, 43, 197
"c:\Users\Idang\Documents\ISPOT_IDHM\alpah\lib\widgets\error_page.dart", "Dart", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Idang\Documents\ISPOT_IDHM\alpah\lib\widgets\instgram_page.dart", "Dart", 0, 0, 0, 0, 0, 219, 0, 0, 0, 0, 0, 0, 5, 224
"c:\Users\Idang\Documents\ISPOT_IDHM\alpah\lib\widgets\photo_show.dart", "Dart", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\Idang\Documents\ISPOT_IDHM\alpah\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 4, 5, 16
"c:\Users\Idang\Documents\ISPOT_IDHM\alpah\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\Idang\Documents\ISPOT_IDHM\alpah\linux\main.cc", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Idang\Documents\ISPOT_IDHM\alpah\linux\my_application.cc", "C++", 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 11, 20, 105
"c:\Users\Idang\Documents\ISPOT_IDHM\alpah\linux\my_application.h", "C++", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\Idang\Documents\ISPOT_IDHM\alpah\pubspec.yaml", "YAML", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 56, 17, 103
"c:\Users\Idang\Documents\ISPOT_IDHM\alpah\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\Idang\Documents\ISPOT_IDHM\alpah\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 18, 7, 105
"c:\Users\Idang\Documents\ISPOT_IDHM\alpah\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 1, 36
"Total", "-", 90, 15, 33, 10, 99, 1032, 180, 80, 126, 12, 4, 194, 328, 2203
